method,variable,bias,rmse,mae
SoftImpute,gp3,0.01144893550763535,0.9305116433651651,0.7022970417225244
SoftImpute,gp4,0.007467082130084846,0.9264176324121361,0.7383876321349849
SoftImpute,gp5,-0.001325696392141649,1.095167677952176,0.8061162980280944
SoftImpute,gp6,0.009965612261079676,0.7845176149115661,0.6032469466668094
SoftImpute,gp7,0.00301534443486447,0.8057423802069416,0.6265409792947151
SoftImpute,gs1,-0.01166870483729309,0.9268834044886209,0.7122572861776469
SoftImpute,gs2,-0.005027747864082384,0.6681058514273986,0.49540099715432484
SoftImpute,gs3,-0.006762129890151103,0.8203376200690969,0.6189355043634966
SoftImpute,gs4,0.007144015950340077,0.9247219361908221,0.6657435759055433
SoftImpute,gs5,-0.004961928878273641,0.7194041378950425,0.5160111008858789
SoftImpute,gs6,-7.83753181688073e-05,1.1533335794604864,0.805751099680935
SoftImpute,gs7,-0.012747282699996053,1.717493233796782,1.3578669277279805
VAE,a_act11,-0.0013987904817015758,1.0222730960810664,0.8664859416137388
VAE,a_c2,0.010372525570652918,1.461897826126262,1.3046226976668251
VAE,a_c6,-0.00971832931068947,1.3992588488990034,1.2113459664863666
VAE,a_e1,0.006201288132647938,1.6468470934326471,1.5003548636508348
VAE,a_e2,-0.003255868344723008,1.285636597338209,1.0819719396534984
VAE,a_e3,0.009841569397850181,0.9924079144637964,0.8131449404274
VAE,a_e4,-0.008836767879344933,1.195274091996204,1.01825571559019
VAE,a_e5,0.002621579340723519,1.0316386832959887,0.8489700755190103
VAE,a_e6,0.010310402033317028,1.5438974811151502,1.361222464310464
VAE,a_e7,-0.0011585677808253654,0.9787264863846393,0.7889706303246656
VAE,a_hn1,0.005680057870682759,1.5299815853487981,1.3532479191784883
VAE,a_hn10,0.004015942147029709,0.87131789572485,0.7022239198157536
VAE,a_hn2,0.012414663083589256,1.1479083671772445,0.9649749764785095
VAE,a_hn3,-0.0023470185659638636,0.8670144719482742,0.7110641489251575
VAE,a_hn4,0.007316912937803285,1.4313804710912126,1.2490525788997286
VAE,a_hn5,-0.014917258238236947,1.5403217943635554,1.387685811775577
VAE,a_hn7,0.018765218995581066,1.5011744026012825,1.3057935941045322
VAE,ge1,0.00248593409456799,1.0397678031551012,0.864752842952658
VAE,ge2,-0.0054634940384620375,1.2290714581503,1.0326999412709146
VAE,ge3,-0.005916969736346282,1.027213602541292,0.8468113576212236
VAE,ge4,0.00255262544570093,1.246879732353252,1.0813855405701192
VAE,ge5,-0.010105435779618584,1.2456466356016316,1.03384634338595
VAE,ge6,-0.011366612647646037,1.2915382028490128,1.09915484043821
VAE,gf1,-0.00622689191220793,1.3447813173196732,1.176674143057972
VAE,gf2,0.022442867537128753,1.321623067900761,1.1294296546952365
VAE,gf3,-0.03858313383768551,1.1096192722227367,0.9538116045034112
VAE,gf4,0.012565924354534052,1.1886011275787038,1.0225439884554801
VAE,gf5,0.001660580371492473,1.173184018387977,1.0095618551699959
VAE,gf6,-0.021144226448020744,1.2018236466883956,1.0299453201375046
VAE,gf7,-0.0026274783407623445,1.2410610182610096,1.0670921756753968
VAE,gp1,-0.021879214593513524,1.1434452496439813,1.0048102085794037
VAE,gp2,-0.002301014775606864,0.7755245061852746,0.6672045554707398
VAE,gp3,0.006552970994610921,1.1119032474859567,0.9205269824781148
VAE,gp4,-0.015039624610737937,1.1598851049002483,0.9901342209160229
VAE,gp5,0.004506267516887814,0.941207823151135,0.7149248130605486
VAE,gp6,-0.012034379749768615,1.0962709041753798,0.9307176575098696
VAE,gp7,0.001016862890129312,0.9441339970814734,0.7802237210935684
VAE,gs1,-0.017640342838745673,1.049410374554509,0.8628395378344568
VAE,gs2,-0.00842727350829234,0.8083751966817987,0.6798568823828769
VAE,gs3,0.004906387245235731,0.9582534548234354,0.757586487234138
VAE,gs4,0.007091571610879907,1.0855576515974696,0.8626662420412631
VAE,gs5,-0.0002138248640089158,0.963959851589923,0.7688708144616042
VAE,gs6,0.002673247038373443,1.0568094394484973,0.7728998738701635
VAE,gs7,-0.0021564174150360497,1.4919800227481523,1.2701245660712401
